PASA BAHCE;22567;9232;TEKMEN-LİMANAĞZI MAH.KARATAŞ SOKAK NO:636 95199 BOZYAZI/MERSİN;MERSİN;TÜRKİYE;BOZYAZI
PASA BAHCE;24477;7732;PINARBAŞI MAH.HARİTA SOKAK NO:566 78872 BESNİ/ADIYAMAN;ADIYAMAN;TÜRKİYE;BESNİ
PASA BAHCE;21929;8973;CERELLER MAH.4. SOKAK NO:604 101827 ÇAVDARHİSAR/KÜTAHYA;KÜTAHYA;TÜRKİYE;ÇAVDARHİSAR
PASA BAHCE;7820;5345;DEĞİRMENDERE YALI MAH.EVRİM SOKAK NO:207 100209 GÖLCÜK/KOCAELİ;KOCAELİ;TÜRKİYE;GÖLCÜK
PASA BAHCE;17243;7068;ÇARŞI MAH.2612 . SOKAK NO:741 88970 ÇİVRİL/DENİZLİ;DENİZLİ;TÜRKİYE;ÇİVRİL
PASA BAHCE;22299;9130;EMNiYETTEPE MAH.MEHMET AKİF ERSOY CADDESİ SOKAK NO:625 95826 EYÜP/İSTANBUL;İSTANBUL;TÜRKİYE;EYÜP
PASA BAHCE;17584;7212;YAMAÇLI MAH.603. SOKAK NO:171 78218 YÜREĞİR/ADANA;ADANA;TÜRKİYE;YÜREĞİR
PASA BAHCE;20930;8564;ÇARŞI MAH.SERÇE SOKAK NO:828 85533 SEBEN/BOLU;BOLU;TÜRKİYE;SEBEN
PASA BAHCE;20375;8337;ALTAYÇEŞME MAH.ENGİN SOKAK NO:169 96081 MALTEPE/İSTANBUL;İSTANBUL;TÜRKİYE;MALTEPE
PASA BAHCE;23341;9543;AĞAÇBEYLİ-AKINCILAR MAH.TUNCAY DURMUŞ SOKAK NO:886 113781 SİVASLI/UŞAK;UŞAK;TÜRKİYE;SİVASLI
PASA BAHCE;20422;8357;ARDIÇTEPE KÖYÜ MAH.3 NOLU CADDESİ SOKAK NO:709 84611 BİNGÖL MERKEZ/BİNGÖL;BİNGÖL;TÜRKİYE;BİNGÖL MERKEZ
PASA BAHCE;22269;9116;MEVLANA MAH.735.SOKAK SOKAK NO:766 119770 ATAKUM/SAMSUN;SAMSUN;TÜRKİYE;ATAKUM
PASA BAHCE;1843;771;KUTLUBEY-MERKEZ MAH.GÜLTEPE SOKAK NO:239 88784 BEKİLLİ/DENİZLİ;DENİZLİ;TÜRKİYE;BEKİLLİ
PASA BAHCE;15327;4141;CAMİ ŞERİF MAH.5238. SOKAK NO:580 119630 AKDENİZ/MERSİN;MERSİN;TÜRKİYE;AKDENİZ
PASA BAHCE;12347;2922;BAHÇELİEVLER MAH.1852. SOKAK NO:202 96616 KARŞIYAKA/İZMİR;İZMİR;TÜRKİYE;KARŞIYAKA
PASA BAHCE;4492;1855;ARMUTKOLU KÖYÜ MAH.MERKEZ MEVKİ SOKAK NO:116 123091 MESUDİYE/ORDU;ORDU;TÜRKİYE;MESUDİYE
PASA BAHCE;2393;996;HÜRRİYET MAH.277.. SOKAK NO:554 113429 VİRANŞEHİR/ŞANLIURFA;ŞANLIURFA;TÜRKİYE;VİRANŞEHİR
PASA BAHCE;13832;3528;HACIMEHMET MAH.2152. SOKAK NO:455 100323 KARAMÜRSEL/KOCAELİ;KOCAELİ;TÜRKİYE;KARAMÜRSEL
PASA BAHCE;6982;5016;GÜLTEPE MAH.AŞAMA SOKAK NO:844 119159 ODUNPAZARI/ESKİŞEHİR;ESKİŞEHİR;TÜRKİYE;ODUNPAZARI
PASA BAHCE;4937;2027;YENİ MAH.416. SOKAK NO:210 113284 HİLVAN/ŞANLIURFA;ŞANLIURFA;TÜRKİYE;HİLVAN
PASA BAHCE;8582;5640;ADEM YAVUZ MAH.ŞAMİL SOKAK NO:807 96221 ÜMRANİYE/İSTANBUL;İSTANBUL;TÜRKİYE;ÜMRANİYE
PASA BAHCE;8156;5471;ZEYTİNLİK MAH.4014. SOKAK NO:154 118767 KEPEZ/ANTALYA;ANTALYA;TÜRKİYE;KEPEZ
PASA BAHCE;13159;3246;HASYURT-KOLAKLAR MAH.KARGILIK ÇIKMAZI SOKAK NO:495 82312 FİNİKE/ANTALYA;ANTALYA;TÜRKİYE;FİNİKE
PASA BAHCE;8325;5534;TEPECİK MAH.TEPE TÜRKMENLERİ KÜME EVLERİ SOKAK NO:792 86992 BAYRAMİÇ/ÇANAKKALE;ÇANAKKALE;TÜRKİYE;BAYRAMİÇ
PASA BAHCE;3812;1572;YUNUS EMRE MAH.NEJDET ÖZDOĞAN CADDESİ SOKAK NO:56 101374 KARAPINAR/KONYA;KONYA;TÜRKİYE;KARAPINAR
PASA BAHCE;8459;5586;UMUT MAH.3852. SOKAK NO:507 119436 KARABAĞLAR/İZMİR;İZMİR;TÜRKİYE;KARABAĞLAR
PASA BAHCE;17535;7188;HATİPLER KÖYÜ MAH.218. SOKAK NO:609 82615 MANAVGAT/ANTALYA;ANTALYA;TÜRKİYE;MANAVGAT
PASA BAHCE;5200;2136;SÜTÇÜLER KÖYÜ MAH.ATATÜRK-KAVŞAKTAN GİRİŞ CADDESİ SOKAK NO:650 97046 KEMALPAŞA/İZMİR;İZMİR;TÜRKİYE;KEMALPAŞA
PASA BAHCE;3574;1477;ŞEH MAH.GÜRÇEŞME SOKAK NO:339 98860 TOSYA/KASTAMONU;KASTAMONU;TÜRKİYE;TOSYA
PASA BAHCE;2613;1088;POLİGON MAH.124/1 SOKAK NO:265 119428 KARABAĞLAR/İZMİR;İZMİR;TÜRKİYE;KARABAĞLAR
PASA BAHCE;1028;440;SAZLIDERE KÖYÜ MAH.KÖYÜN KENDİSİ SOKAK NO:332 114441 AKDAĞMADENİ/YOZGAT;YOZGAT;TÜRKİYE;AKDAĞMADENİ
PASA BAHCE;5953;4607;CUMARA MAH.OKUYUCU SOKAK NO:581 80627 GÜMÜŞHACIKÖY/AMASYA;AMASYA;TÜRKİYE;GÜMÜŞHACIKÖY
PASA BAHCE;4301;1775;KÜLTÜR MAH.CEM SULTAN SOKAK NO:510 85063 BOLU MERKEZ/BOLU;BOLU;TÜRKİYE;BOLU MERKEZ
PASA BAHCE;5437;4388;ÇAMÇEŞME MAH.CENNET SOKAK NO:152 96127 PENDİK/İSTANBUL;İSTANBUL;TÜRKİYE;PENDİK
PASA BAHCE;12297;2902;KAKLIK-İSTASYON MAH.130. SOKAK NO:45 89068 HONAZ/DENİZLİ;DENİZLİ;TÜRKİYE;HONAZ
PASA BAHCE;22095;9037;KONACIK-MERKEZ MAH.CENGİZ TOPEL SOKAK NO:324 105204 BODRUM/MUĞLA;MUĞLA;TÜRKİYE;BODRUM
PASA BAHCE;10007;6225;YUVA MAH.2539. SOKAK NO:420 116047 KIRIKKALE MERKEZ/KIRIKKALE;KIRIKKALE;TÜRKİYE;KIRIKKALE MERKEZ
